Name,Date,Region,Strain
EPI_ISL_7733613,2021.9150684931508,Europe,A/turkey/Italy/21VIR10456/2021 H5N1
EPI_ISL_7733617,2021.841095890411,Europe,A/chicken/Italy/21VIR9133-20/2021 H5N1
EPI_ISL_7733621,2021.8602739726027,Europe,A/seagull/Italy/21VIR9432-2/2021 H5N1
EPI_ISL_7733624,2021.876712328767,Europe,A/turkey/Italy/21VIR9767-3/2021 H5N1
EPI_ISL_7733628,2021.8986301369864,Europe,A/turkey/Italy/21VIR10251/2021 H5N1
EPI_ISL_7733629,2021.8712328767124,Europe,A/turkey/Italy/21VIR9652-2/2021 H5N1
EPI_ISL_7733630,2021.8712328767124,Europe,A/chicken/Italy/21VIR9691-2/2021 H5N1
EPI_ISL_7733632,2021.8602739726027,Europe,A/turkey/Italy/21VIR9512-1/2021 H5N1
EPI_ISL_7733633,2021.8383561643836,Europe,A/turkey/Italy/21VIR9143-2/2021 H5N1
EPI_ISL_7733634,2021.876712328767,Europe,A/chicken/Italy/21VIR9765-12/2021 H5N1
EPI_ISL_7733635,2021.8602739726027,Europe,A/turkey/Italy/21VIR9510-1/2021 H5N1
EPI_ISL_7733638,2021.876712328767,Europe,A/turkey/Italy/21VIR9768-8/2021 H5N1
EPI_ISL_7733641,2021.9013698630138,Europe,A/chicken/Italy/21VIR10352/2021 H5N1
EPI_ISL_7733642,2021.9123287671232,Europe,A/kestrel/Italy/21VIR10468/2021 H5N1
EPI_ISL_7733643,2021.8712328767124,Europe,A/turkey/Italy/21VIR9649-2/2021 H5N1
EPI_ISL_7733644,2021.8219178082193,Europe,A/chicken/Italy/IZSLT-122448_21VIR9218-1/2021 H5N1
EPI_ISL_7733645,2021.890410958904,Europe,A/goose/Italy/IZSLT-21VIR10273/2021 H5N1
EPI_ISL_7733647,2021.8438356164384,Europe,A/turkey/Italy/21VIR9210-1/2021 H5N1
EPI_ISL_7733648,2021.813698630137,Europe,A/turkey/Italy/21VIR8817-1/2021 H5N1
EPI_ISL_7748001,2021.7835616438356,Europe,A/Eurasian_curlew/Germany-SH/AI05960/2021 H5N1
EPI_ISL_7748188,2021.7835616438356,Europe,A/Eurasian_wigeon/Germany-SH/AI05950/2021 H5N1
EPI_ISL_7748262,2021.7835616438356,Europe,A/Eurasian_wigeon/Germany-SH/AI05952/2021 H5N1
EPI_ISL_7753130,2021.7835616438356,Europe,A/Eurasian_wigeon/Germany-SH/AI05955/2021 H5N1
EPI_ISL_7753152,2021.7835616438356,Europe,A/Eurasian_wigeon/Germany-SH/AI05953/2021 H5N1
EPI_ISL_7753173,2021.7835616438356,Europe,A/Eurasian_wigeon/Germany-SH/AI05956/2021 H5N1
EPI_ISL_7753193,2021.7835616438356,Europe,A/Eurasian_wigeon/Germany-SH/AI05951/2021 H5N1
EPI_ISL_7753211,2021.7835616438356,Europe,A/Eurasian_wigeon/Germany-SH/AI05954/2021 H5N1
