Isolate_Id	Isolate_Name	Subtype	Host	Location	Collection_Date	Domestic_Status
EPI_ISL_631824	A/Mandarin duck/Korea/H242/2020	A / H5N8	Wild waterfowl	Asia / Korea, Republic of / Chungcheongbuk-do	2020-10-21	
EPI_ISL_697771	A/northern pintail/Hokkaido/M13/2020	A / H5N8	Northern pintail	Asia / Japan / Hokkaido	2020-10-24	
EPI_ISL_1009695	A/spot-billed duck/Korea/WA612/2020	A / H5N8	Avian	Asia / Korea, Republic of / CN	2020-11-03	
EPI_ISL_681286	A/chicken/Kagawa/11C/2020	A / H5N8	Chicken	Asia / Japan / Kagawa	2020-11-04	
EPI_ISL_1009696	A/mandarin duck/Korea/WB80/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-11-10	
EPI_ISL_985179	A/duck/Korea/H338/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-11-26	
EPI_ISL_985180	A/chicken/Korea/H365/2020	A / H5N8	Avian	Asia / Korea, Republic of / GB	2020-12-01	
EPI_ISL_1009702	A/mandarin duck/Korea/WA877/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-01	
EPI_ISL_1009705	A/mandarin duck/Korea/WA913/2020	A / H5N8	Avian	Asia / Korea, Republic of / CN	2020-12-01	
EPI_ISL_985186	A/duck/Korea/H419/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-09	
EPI_ISL_985189	A/duck/Korea/H438/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-11	
EPI_ISL_985204	A/duck/Korea/H516/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-23	
EPI_ISL_1009679	A/duck/Korea/H007/2020	A / H5N8	Avian	Asia / Korea, Republic of / CN	2020-12-28	
EPI_ISL_331307	A/teal/Dagestan/1017/2018	A / H12N5	Avian	Europe / Russian Federation / Republic of Dagestan / Adzhy Lake	2018-01-23	
EPI_ISL_355938	A/green sandpiper/Kurgan/1050/2018	A / H3N8	Sandpiper	Europe / Russian Federation / Kurgan Oblast / Ketovsky District	2018-08-26	Wild
EPI_ISL_503500	A/mallard/Bangladesh/37909/2019	A / H8N4	Anas platyrhynchos	Asia / Bangladesh	2019-01-15	
EPI_ISL_502593	A/Anas Platyrhynchos/Belgium/10811_6/2019	A / H5N6	Anas platyrhynchos	Europe / Belgium	2019-09-21	
EPI_ISL_403716	A/Common_Teal/Dagestan/34d/2019	A / H4N6	Common teal	Europe / Russian Federation / Republic of Dagestan	2019-09-29	
